case_id,child_id,assigned_family,decision,selected_candidate_label,confidence,relationship_type,rationale,candidate_ranking,selected_parent_id,retrieval_sources,word5_score,word5_rank,word10_score,word10_rank,bm25_score,bm25_rank,function_score,function_rank
SHC001,693,ieepa_action,candidate,C20,0.97,both,"C20 plausibly supplied a material drafting template. The child follows C20's same operative sequence—property blocking and designation criteria, entry suspension tied to the same criteria, donation prohibition, contribution/service restrictions, anti-evasion and conspiracy provisions, definitions, no-prior-notice finding, and Treasury implementation authority. More distinctively, the child's designation machinery adapts C20's criteria concerning threats to peace, security, stability, sovereignty, or territorial integrity; misappropriation of state assets; leadership of culpable entities; material assistance; and ownership or control. C17 is a strong secondary source for the child's detailed civilian-targeting language and use of UNPA authority, while C08 closely matches the overall section order and emergency-expansion framing.",C20|C17|C08,759,bm25|function|word10|word5,0.4578668773174286,4,0.39903780817985535,3,635.0633327830337,5,0.8213162422180176,2
SHC002,222,ieepa_action,candidate,C21,0.99,both,"C21 is the concrete and material source directive that the child expressly identifies and textually amends. The child preserves C21's tariff machinery, crisis-assessment mechanism, responsible officials, and conditional response, while postponing the effective date of duties imposed by C21. C19 and C02 are strong but weaker analogues because they use nearly identical IEEPA tariff and interagency-review structures for Canada and the PRC, respectively, without being the directive amended by the child.",C21|C19|C02,226,bm25|function|word5,0.14065037667751312,1,0.057634469121694565,8,322.41730296958355,1,0.6260214447975159,1
SHC003,4859,ieepa_action,candidate,C22,0.99,both,"C22 plausibly supplied a concrete and material template for the child. The child closely reproduces C22's distinctive factual indictment of Iran and its four-part policy formulation, then reports the sanctions-restoration action that C22 specifically ordered. C21 and C20 are also strong antecedents for the child's historical narrative, section-by-section sanctions description, and congressional-report format, but C22 has the clearest distinctive language and immediate functional continuity.",C22|C21|C20,9066,bm25|word10|word5,0.13884779810905457,3,0.06263422966003418,3,509.6492772698852,2,0.4202613830566406,5119
SHC004,6561,ieepa_action,candidate,C13,0.99,both,"C13 is an earlier report on the same Libyan national emergency and supplies both distinctive language and the material reporting architecture reused by the child: identification of the prior report and statutory authorities, review of Libyan Sanctions Regulations and related Commerce/Transportation measures, licensing activity, enforcement, attributable federal expenses, and the concluding determination that Libya remains an unusual and extraordinary threat followed by promises to continue sanctions and periodic reporting. C15 and C08 are strong secondary analogues for the same sanctions-report structure, but concern Nicaragua rather than the child's Libyan reporting series.",C13|C15|C08,6613,bm25|function|word10|word5,0.2986434996128082,1,0.23834310472011566,1,559.448066985389,1,0.7433990240097046,1
SHC005,6044,ieepa_action,candidate,C06,0.99,both,"C06 is expressly identified by the child as the existing order being amended, and it supplies the concrete interagency license-review machinery that the new order revises. Most decisively, C06 establishes the Operating Committee and makes its Chair the first-level decisionmaker; the child describes replacing that precise mechanism with a majority vote for two transferred technology sectors. This is a direct, material adaptation of both C06's language and administrative structure. C03 supplies the broader emergency export-control framework but not the specific procedure revised, while C11 merely offers a less distinctive executive-order transmittal pattern.",C06|C03|C11,1438,bm25,0.019745079800486565,38,0.0,84,131.22320109111894,1,,
SHC006,5870,ieepa_action,candidate,C11,0.99,both,"C11 is the immediately preceding same-series Iran emergency report and supplies both the child’s overall five-part structure and extensive near-verbatim language. The child updates C11’s regulatory status, Tribunal award totals and account balances, Cases A/28 and A/29, government claims and settlement payments, private claims, and the identical concluding justification. C05 and C04 are earlier iterations of the same recurring template, but C11 is materially closer in wording, organization, and continuing matters.",C11|C05|C04,5968,bm25|word10|word5,0.4384731650352478,1,0.3172569274902344,1,668.2448626558585,1,0.7910656929016113,6
SHC007,6460,ieepa_action,candidate,C16,0.98,both,"C16 plausibly supplied a concrete drafting template for the child. Both are periodic reports on the same Iran national emergency and share a highly specific framework: an opening identifying the same two emergency directives and statutory reporting authorities; discussion of the Iranian Transactions Regulations, licensing of pre-embargo Iranian carpets, Customs seizures, and enforcement; numbered updates on the Iran-United States Claims Tribunal, large and small claims, government-to-government claims, Security Account replenishments, and Bank Markazi payments; and an almost verbatim concluding assessment of the Iranian Assets Control Regulations and Iranian Transactions Regulations. C05 and C22 are earlier Iran-report templates with parallel Tribunal and claims sections, but they lack C16's later dual-regulation framework and are less textually close.",C16|C05|C22,6570,bm25|word10|word5,0.30318304896354675,1,0.21635471284389496,1,862.9482810741008,1,,
SHC008,71,ieepa_action,candidate,C18,0.98,both,"C18 is a compelling direct template because it addresses the identical distinctive problem—wrongful detention of U.S. nationals abroad—and supplies concrete machinery reused by the child: State Department identification or designation, sanctions under IEEPA, section 7031(c) designations, immigration restrictions coordinated with Homeland Security, and statutory definitions of wrongful detention and U.S. nationals. The child reorganizes that person-focused sanctions framework into a country-level designation-and-response regime, but the shared language, authorities, actors, and operative tools are too specific and extensive to be explained as broad topical similarity or routine boilerplate. C04 and C08 are the next strongest because they use a determination that a foreign country committed specified conduct, followed by a defined menu of country-level assistance, arms, and export restrictions and provisions governing termination, but their different WMD subject makes them weaker than C18.",C18|C04|C08,341,bm25|word5,0.033717285841703415,3,0.00640864809975028,13,308.46587471841826,1,0.5776599645614624,19
SHC009,4721,ieepa_action,candidate,C15,0.93,both,"C15 plausibly supplied a concrete drafting template for the later congressional letter. Both are Trump-era letters reporting a newly declared national emergency, explain a foreign-adversary threat to a strategically important U.S. system, summarize transaction prohibitions administered through a designated Secretary and interagency consultation, delegate IEEPA implementation and rulemaking powers, direct government-wide implementation, and close by enclosing the Executive Order. The unusually close wording and provision sequence exceed routine reporting boilerplate. C23 and C08 share the same administration's PRC-focused prohibition-and-delegation letter form, but concern narrower application-specific transactions and an existing emergency, making them weaker templates.",C15|C23|C08,4756,bm25|word10|word5,0.1619027554988861,1,0.10530765354633331,1,195.80030373781076,1,0.6839386820793152,14
SHC010,6571,ieepa_action,candidate,C03,0.99,both,"C03 is the immediately preceding report in the same Nicaragua emergency-reporting series and plainly supplied both the language and organization of the child. The child repeats C03's opening description of the emergency and four prohibitions, statutory-authority paragraph, regulatory update, licensing discussion, enforcement section, policy justification, expense accounting, and concluding threat/continued-reporting language, while updating dates, figures, and intervening developments. C21 is an earlier version of substantially the same reporting template. C18 materially supplied the quoted description of the underlying sanctions but not the report's broader structure.",C03|C21|C18,6595,bm25|function|same_family_recent|word10|word5,0.43287909030914307,1,0.37705808877944946,1,810.3978872593356,1,0.7975161671638489,1
SHC011,6659,ieepa_action,candidate,C22,0.98,both,"C22 plausibly supplied the principal reporting template: both are presidential letters reporting to Congress on developments since the previous report concerning a declared national emergency, organize the substantive report as numbered developments, and close by stating that the underlying foreign-policy problem persists, emergency powers will continue to be exercised, and periodic congressional reports will continue. C01 also materially supplied the Nicaragua-specific substance, including the four prohibitions and threat formulation, but it is the underlying sanctions order rather than the strongest template for the later report's form. C07 shares Nicaragua-related transmittal conventions and some policy language, but less of the distinctive emergency-report machinery.",C22|C01|C07,6742,bm25|function|word10|word5,0.03662131354212761,2,0.0075642429292202,2,190.14103631066092,5,0.6740838885307312,1
SHC012,6162,ieepa_action,candidate,C25,0.99,both,"C25 is an earlier report in the same Iran-emergency reporting series and supplies a concrete drafting template for the child. The documents share an almost verbatim opening, the same statutory authorities, and the same numbered progression from regulatory status and FAC/Customs enforcement through Claims Tribunal activity, Security Account replenishment, government claims, and Foreign Claims Settlement Commission work. Their concluding assessments and commitments are also nearly identical. C05 and C12 share much of this machinery, but C25 is chronologically closer and its wording and organization most closely match the child.",C25|C05|C12,6336,bm25|function|word10|word5,0.41055312752723694,1,0.2867285907268524,1,815.9389375186506,1,0.784619927406311,1
SHC013,4756,ieepa_action,candidate,C06,0.99,both,"C06 is a clear, concrete drafting template for the substance of the later congressional letter. The child adapts C06's national-emergency findings and transaction-control machinery from information and communications technology and services to bulk-power system electric equipment. It preserves distinctive language about foreign-adversary ownership or control, balancing an open investment climate against national-security needs, the same three-part risk test, and authority to direct cessation of transactions, adopt regulations, and employ IEEPA powers. C02 and C21 are the strongest secondary candidates because they share the Trump-era congressional-report structure and similar delegation and agency-implementation language, but those features are less distinctive and material than the extensive correspondence with C06.",C06|C02|C21,546,bm25|word10|word5,0.40668410062789917,1,0.26189762353897095,1,349.5716241860507,1,0.5722320079803467,186
SHC014,5968,ieepa_action,candidate,C08,0.99,both,"C08 is the immediately preceding report in the same Iran-emergency reporting series and supplies both the later letter’s highly specific language and its substantive organization. The child updates the same five-part framework: regulatory amendments; Tribunal awards and Security Account replenishment; government-to-government claims; private U.S.-national claims; and a nearly verbatim concluding assessment and commitment. C04 and C14 are also strong antecedents in the same drafting lineage, but C08 is the most direct template because the child expressly identifies the May 1997 report as intervening while carrying forward matters and formulations already present in C08.",C08|C04|C14,6037,bm25|function|word10|word5,0.2498367428779602,1,0.1833064705133438,1,653.847758926408,1,0.7711457014083862,4
SHC015,4809,ieepa_action,candidate,C11,0.93,both,"C11 plausibly supplied a material drafting template for the child's core implementation paragraph. Both use the same compact sequence: report an order taking additional steps regarding an existing national emergency; delegate authority to Treasury to take actions, adopt rules and regulations, and employ presidential IEEPA powers as necessary to implement the order; then direct all executive departments and agencies to take appropriate measures within their authority to implement it. C06 and C12 more closely match the child's three-official consultation structure, including the Attorney General, but their remaining phrasing is less distinctive and appears to reflect the same recurring sanctions-letter form.",C11|C06|C12,4895,function,0.23055362701416016,10,0.049322277307510376,31,101.33492542016886,19,0.762738049030304,4
SHC016,5607,ieepa_action,candidate,C07,0.98,both,"C07 is a highly plausible material template because it establishes the same emergency machinery for preserving the Export Administration Act regime after expiration. The child closely restates C07's continuation of Commerce regulations and administrative actions, section 38(e) administration, IEEPA inconsistency exception, threat rationale, antiboycott purpose, and continuation pending replacement legislation. C10 is an earlier version of substantially the same machinery, while C12 is a related congressional-reporting letter but concerns a narrower revision of encryption controls.",C07|C10|C12,1495,word10|word5,0.052876174449920654,3,0.0238934438675642,3,210.61172939690434,10,0.5885144472122192,173
SHC017,6425,ieepa_action,candidate,C15,0.99,both,"C15 is the child’s expressly identified immediately preceding report and supplies a concrete, material template for it. The child repeats C15’s opening statutory-reporting formula, reporting-period linkage, numbered organization, treatment of the Iranian Transactions and Assets Control Regulations, licensing and enforcement activity, Claims Tribunal statistics, Security Account replenishment, large and small claims, government-to-government claims, bank-syndicate settlements, and a nearly verbatim concluding rationale. C19 and C17 are earlier reports in the same Iran reporting series and share substantial machinery, but C15 is the direct and strongest drafting source.",C15|C19|C17,6460,bm25|function|same_family_recent|word10|word5,0.3259206712245941,1,0.22077856957912445,1,838.0910926216507,1,0.7682251930236816,1
SHC018,5143,ieepa_action,candidate,C14,0.99,both,"C14 is an exceptionally strong template candidate. It is an earlier congressional reporting letter concerning the same Syrian national-emergency framework, and the child reproduces its overall paragraph sequence and extensive language nearly verbatim: report issuance and recount the emergency history; summarize Annex blocking and designation criteria; describe Treasury's implementation and unblocking delegations; state the effective time and agency directive; and enclose the order. The child adapts this concrete letter template to the additional May 18 sanctions and new designation criteria.",C14|C19|C06,5146,bm25|function|same_family_recent|word10|word5,0.6263830661773682,1,0.5292065739631653,1,507.5375890694446,1,0.7281962633132935,2
SHC019,6036,ieepa_action,candidate,C03,0.99,both,"C03 is a highly persuasive drafting template. The two letters share an almost verbatim opening that invokes the same national emergency, expiration of the Export Administration Act, statutory reporting authority, and issuance of an attached Executive order revising Commerce export-control administration. They then follow the same sequence: identify products transferred from the State Department's Munitions List to Commerce's Control List, explain an accompanying amendment to the same December 5, 1995 interagency license-review directive, and describe the product-specific procedural change. The child adapts this concrete framework from satellites and jet-engine technology to encryption products, adding Justice Department review and foreign-availability rules. C21 is a weaker functional analogue for maintaining controls notwithstanding foreign availability, while C10 supplies background emergency export-control machinery but not the child's specific letter structure.",C03|C21|C10,6044,bm25|function|word10|word5,0.3860257565975189,1,0.31390702724456787,1,306.2990907990862,1,0.6612752676010132,1
SHC020,6037,ieepa_action,candidate,C19,0.98,both,"C19 is an earlier installment in the same Iran-emergency reporting series and plausibly supplied substantial drafting material for the child. The documents share highly specific introductory and concluding language, the same regulatory and Iran–United States Claims Tribunal framework, and a parallel progression from regulatory developments to Tribunal awards and Security Account status, government-to-government cases, and the continuing national-security justification. C16 and C01 share the same series architecture, but C19 is temporally closer and contains several particular proceedings and formulations carried forward into the child.",C19|C16|C01,6162,bm25|function|word10|word5,0.11459951102733612,1,0.06757500767707825,1,582.1668858883404,1,0.7573952674865723,3
SHC021,4928,property_blocking,candidate,C21,0.96,both,"C21 plausibly supplied a concrete drafting template for the child. Both are Obama letters to congressional leaders reporting an Executive Order that withdraws sanctions after positive political developments, recounting the original emergency and subsequent measures, finding that changed circumstances eliminate the need for those measures, announcing revocation, addressing a statutory sanctions waiver, and enclosing the order. The shared sequence and closely corresponding language are substantially more specific than routine reporting boilerplate. C09 is also a strong model for a letter revoking multiple sanctions orders while retaining or implementing other authorities, but its predicate and organization are less closely aligned. C01 shares the altered-circumstances/no-further-need/revocation structure but lacks the waiver and multiple-order machinery.",C21|C09|C01,4946,bm25|function|word10|word5,0.05305773764848709,2,0.029064718633890152,1,209.47596389157385,4,0.6525699496269226,1
SHC022,829,property_blocking,candidate,C05,0.99,both,"C05 plausibly supplied a concrete and material drafting template. The child's section 3 reproduces C05's distinctive five-part sanctions machinery—loan and credit restrictions, foreign-exchange prohibitions, interbank-transfer prohibitions, property blocking, and import restrictions—in the same order and with nearly identical language. It also carries forward C05's linked donation determination, contribution prohibitions, anti-evasion provisions, specialized financial definitions, no-prior-notice finding, Treasury implementation authority, and Iran/Algiers clause, while adapting the trigger and defined term from an “ISA-sanctioned person” to a person sanctioned for specified petroleum or petrochemical support. C04 is the next strongest because it shares the Iran-specific emergency framework and some ancillary text, but it lacks the distinctive menu of five sanctions. C03 has close contemporary blocking-order language but mainly supplies standard IEEPA machinery rather than the child's central sanctions architecture.",C05|C04|C03,845,bm25|function|word10|word5,0.38723424077033997,1,0.3267732858657837,1,640.5882695524759,1,0.7217180728912354,1
SHC023,348,property_blocking,candidate,C09,0.99,both,"C09 plausibly supplied a concrete and material drafting template. The child expressly identifies the March 11, 2022 directive as an earlier step and closely reproduces C09's operative architecture: a subsection listing Russia-related prohibitions, including new investment, exports or supply, and facilitation of otherwise prohibited foreign transactions; the same exceptions clause; identical anti-evasion and conspiracy provisions; the same official-business exemption; substantially identical definitions; and nearly identical implementation and redelegation language. C24 is also a very strong related template, while C04 contains the same transactional machinery but is less immediately aligned with the child's Russia-wide sanctions and section sequence.",C09|C24|C04,351,bm25|same_family_recent|word10|word5,0.8017752766609192,1,0.6679246425628662,2,504.1474265988713,1,0.7524461150169373,6
SHC024,650,property_blocking,candidate,C23,0.88,both,"C23 plausibly supplied a material immigration-counterterrorism drafting template. Both directives expressly respond to September 11 by adopting a national policy of preventing terrorist-associated aliens from entering the United States, then use coordinated visa screening, interagency intelligence and data sharing, enhanced immigration enforcement, program development, and timed presidential reporting. These parallels are substantially more concrete than a shared broad security topic. C19 has unusually close entry-suspension and national-interest-exception language, but it is embedded in a sanctions order and covers individually designated persons rather than countrywide screening. C12 is closely related in timing, style, and immigration administration, but primarily concerns unlawful southern-border entry rather than foreign-terrorist visa screening.",C23|C19|C12,25,bm25|function,0.006380682811141014,33,0.0,245,373.98849014558766,3,0.5868111848831177,3
SHC025,1019,property_blocking,candidate,C14,0.99,both,"C14 plausibly supplied an extensive, material drafting template. The child follows nearly the same section-by-section structure and repeats highly specific language for asset blocking, designation criteria, humanitarian donations, contributions, evasion and conspiracy, definitions, no-prior-notice findings, Treasury implementation, NEA compliance, congressional reporting, delisting, disclaimer, and effective date. Most distinctively, both define “arms or any related materiel” through a detailed list of peacekeeping, humanitarian, protective-clothing, evacuation or peace-process exceptions, adapted from Cote d'Ivoire to Darfur. This is far beyond generic sanctions boilerplate.",C14|C11|C15,1023,bm25|function|same_family_recent|word10|word5,0.577558696269989,1,0.49322089552879333,1,708.9360754110803,1,0.7630833387374878,1
SHC026,5889,property_blocking,candidate,C13,0.99,both,"C13 is a highly plausible direct drafting template for the child letter. Both are congressional notifications of additional UNITA sanctions, and they share a distinctive paragraph-by-paragraph sequence: report the exercise of statutory authority; state that the 1993 emergency circumstances remain unresolved; recount successive Security Council sanctions and Lusaka Protocol noncompliance; summarize a newly issued Executive order in numbered form; discuss humanitarian exemptions; define UNITA through the same three components; explain how the measures constrain UNITA and advance the peace process; and promise support for lifting sanctions upon UNITA's transition to an unarmed political party. Much of this language is nearly verbatim, while the operative sanctions and cited resolutions are updated. C03 supplies closely related UNITA sanctions machinery reflected in the child, and C11 supplies the original UNITA framework, but neither matches the later letter's form and full rhetorical structure as closely as C13.",C13|C03|C11,5959,bm25|function|word10|word5,0.3807341456413269,1,0.26909780502319336,1,539.997650631584,1,0.7062752842903137,1
