document_id,url,date,president,doc_type,term,source_file,authority_category,self_executing_category,rationale,evidence_phrase,evidence_excerpt,directive_title,vesting_clauses
38,https://www.presidency.ucsb.edu/documents/executive-order-14381-celebrating-american-greatness-with-american-motor-racing,"January 30, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"Secretary of the Interior and the Secretary of Transportation shall take steps to ensure that all permits, approvals, and other authorizations as are necessary to plan, prepare","...case the majesty of our capital city in celebration of the 250th anniversary of America's independence. Sec. 3. Permits and Approvals. The Secretary of the Interior and the Secretary of Transportation shall take steps to ensure that all permits, approvals, and other authorizations as are necessary to plan, prepare for, and conduct the Freedom 250 Grand Prix are issued and granted as expeditiously as possible. Such steps may include the Secretary of th...",Executive Order 14381 Celebrating American Greatness With American Motor Racing,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
39,https://www.presidency.ucsb.edu/documents/executive-order-14379-addressing-addiction-through-the-great-american-recovery-initiative,"January 29, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,internal management establishment or membership,There is hereby established the White House Great American Recovery Initiative (Initiative,"...families, strengthen our communities, and build the Great American Recovery. Sec. 2. Launching the Great American Recovery Initiative. (a) There is hereby established the White House Great American Recovery Initiative (Initiative) co-chaired by the Secretary of Health and Human Services and the Senior Advisor for Addiction Recovery. There shall be an Executive Direct...",Executive Order 14379 Addressing Addiction Through The Great American Recovery Initiative,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
42,https://www.presidency.ucsb.edu/documents/executive-order-14377-addressing-state-and-local-failures-rebuild-los-angeles-after,"January 23, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"agency head shall further consider whether notice and comment is unnecessary under 5 U.S.C. 553 or any other statute. (c) The Secretary, through the Administrator of FEMA, shall continue to review","...(a) of this section, if any, within 30 days of the date of this order and final regulations within 90 days of the date of this order. Each agency head shall further consider whether notice and comment is unnecessary under 5 U.S.C. 553 or any other statute. (c) The Secretary, through the Administrator of FEMA, shall continue to review all repairs and construction activities conducted under this order for compliance with applicable health, safety, and other substantive sta...",Executive Order 14377 Addressing State And Local Failures Rebuild Los Angeles After,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
47,https://www.presidency.ucsb.edu/documents/executive-order-14372-prioritizing-the-warfighter-defense-contracting,"January 07, 2026",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,Secretary of War (Secretary) shall identify,"...and increased production capacity. Sec. 3. Review. (a) Within 30 days of the date of this order, and on a continuing basis thereafter, the Secretary of War (Secretary) shall identify any defense contractors for critical weapons, supplies, and equipment that are underperforming on their contracts, not investing their own...",Executive Order 14372 Prioritizing The Warfighter Defense Contracting,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
49,https://www.presidency.ucsb.edu/documents/executive-order-14369-ensuring-american-space-superiority,"December 18, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"Secretary of Commerce and the Administrator of NASA, in consultation with the Director of OMB, of their respective major space acquisition programs to identify","..., or industrial capacity gaps relevant to achieving those goals within available funding; (ii) the results of comprehensive reviews by the Secretary of Commerce and the Administrator of NASA, in consultation with the Director of OMB, of their respective major space acquisition programs to identify any such programs that are more than 30 percent behind schedule based on the program's acquisition baseline, 30 percent over cost based on...",Executive Order 14369 Ensuring American Space Superiority,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
50,https://www.presidency.ucsb.edu/documents/executive-order-14370-increasing-medical-marijuana-and-cannabidiol-research,"December 18, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,internal management establishment or membership,"Office of the Assistant Secretary of Health that more than 30,000 licensed healthcare practitioners across 43 United States jurisdictions are authorized to recommend","...d a determination that medical marijuana has a currently accepted medical use. That determination was based in part on a finding by the HHS Office of the Assistant Secretary of Health that more than 30,000 licensed healthcare practitioners across 43 United States jurisdictions are authorized to recommend the medical use of marijuana for more than 6 million registered patients to treat at least 15 medical conditions. It was also based on a fi...",Executive Order 14370 Increasing Medical Marijuana And Cannabidiol Research,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
51,https://www.presidency.ucsb.edu/documents/executive-order-14371-providing-for-the-closing-executive-departments-and-agencies-the,"December 18, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"departments and agencies may determine that certain offices and installations of their organizations, or parts thereof, must remain open and that certain employees must report","...24, 2025, and Friday, December 26, 2025, the day before and the day following Christmas Day, respectively. Sec. 2. The heads of executive departments and agencies may determine that certain offices and installations of their organizations, or parts thereof, must remain open and that certain employees must report for duty on December 24, 2025, or December 26, 2025, or both, for reasons of national security, defense, or other public need. Sec. 3. Dec...",Executive Order 14371 Providing For The Closing Executive Departments And Agencies The,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
52,https://www.presidency.ucsb.edu/documents/executive-order-14367-designating-fentanyl-weapon-mass-destruction,"December 15, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,"Secretary of Homeland Security, as consistent with applicable law and in coordination with the heads of relevant agencies, as appropriate, shall identify","...include the threat of illicit fentanyl; and (e) to ensure the United States uses the full array of appropriate counter-fentanyl tools, the Secretary of Homeland Security, as consistent with applicable law and in coordination with the heads of relevant agencies, as appropriate, shall identify threat networks related to fentanyl smuggling using WMD- and nonproliferation-related threat intelligence to support the full spectrum of c...",Executive Order 14367 Designating Fentanyl Weapon Mass Destruction,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
53,https://www.presidency.ucsb.edu/documents/executive-order-14366-protecting-american-investors-from-foreign-owned-and-politically,"December 11, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,uncertain_review,no conservative rule matched,,,Executive Order 14366 Protecting American Investors From Foreign Owned And Politically,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
54,https://www.presidency.ucsb.edu/documents/executive-order-14365-ensuring-national-policy-framework-for-artificial-intelligence,"December 11, 2025",Donald J. Trump,executive_order,Second,4_28_2026_build_dev.csv,constitution_laws_vague_only,not_self_executing_legal_effect,agency reporting/review/coordination directive,Task Force shall consult,"...wise unlawful in the Attorney General's judgment, including, if appropriate, those laws identified pursuant to section 4 of this order. The Task Force shall consult from time to time with the Special Advisor for AI and Crypto, the Assistant to the President for Science and Technology, the Assistant to t...",Executive Order 14365 Ensuring National Policy Framework For Artificial Intelligence,"[""By the authority vested in me as President by the Constitution and the laws of the United States of America,""]"
